---Movies by imdb rating catogary---
rating_category	movie_count
Action|Drama|Thriller|War	296330372
Drama|Mystery|Thriller	1110249679
Action|Adventure|Fantasy|Thriller	441866740
Crime|Drama	689588396
Drama|History|Romance|War	27205164
Animation|Comedy|Family|Sport	58867694
Comedy|Sci-Fi|Thriller	59475623
Drama|History|War	389032830
Comedy	5751828946
Adventure|Animation|Comedy|Family|Romance	152382076
Drama|Family|Fantasy|Romance	220306233
Drama|Fantasy|Thriller	55882842
Drama|Mystery|Romance|Sci-Fi|Thriller	23014504
Drama|History|War|Western	22406362
Action|Adventure|Animation|Family	261437578
Adventure|Comedy|Family|Mystery|Sci-Fi	250147615
Drama|Fantasy|Horror|Mystery|Thriller	198008527
Animation|Comedy|Family|Sci-Fi	492919910
Adventure|Comedy|Drama|Fantasy|Romance	58229120
Action|Adventure|Comedy|Crime|Thriller	125305545
Crime|Drama|Thriller	2628758124
Adventure|Animation|Family|Fantasy|Musical|War	120618403
Action|Comedy	502943512
Crime|Drama|Mystery|Thriller	1744227637
Adventure|Drama|History	271030690
Action|Adventure|Animation|Family|Fantasy|Sci-Fi	84037039
Adventure|Animation|Comedy|Family|Fantasy|Music	218988744
Drama|History|Thriller|War	133946147
Action|Animation|Comedy|Sci-Fi	78747585
Comedy|Family|Fantasy|Horror|Mystery	75817994
Drama|Mystery|Sci-Fi|Thriller	577612650
Action|Horror|Sci-Fi|Thriller	661283886
Crime|Mystery|Thriller	485071098
Action|Adventure|Comedy|Crime|Mystery|Thriller	64685359
Comedy|Drama|Sci-Fi	183824136
Action|Family|Fantasy|Musical	190562
Drama|History|Sport	161383897
Adventure|Drama|Romance	314012012
Animation|Comedy|Family|Music|Romance	197992827
Animation|Comedy|Family|Fantasy|Musical|Romance	127706877
Adventure|Comedy|Family	438996301
Action|Crime|Drama|Mystery|Thriller	742828780
Action|Adventure|Comedy|Fantasy	78417283
Comedy|Drama|Music|Musical	25529689
Adventure|Comedy|Drama|Family|Fantasy	99163003
Action|Comedy|Fantasy|Romance	31494270
Comedy|Romance|Sci-Fi	308559295
Adventure|Comedy|Mystery	211444617
Comedy|Drama|Fantasy|Romance	425549743
Action|Comedy|Family|Fantasy	136950867
